English word,French word,Frequency
behalf,nom,24
wolsey,wolsey,100
oxford,oxford,55
ignorant,ignorant,48
friend,ami,166
gentle,doux,336
state,etat,166
welcome,bienvenue,154
dance,danse,35
cloten,cailloter,13
deeds,actes,71
pleasure,plaisir,123
remain,rester,45
night,nuit,274
beaten,battu,34
courtesy,courtoisie,18
flood,inonder,23
glory,gloire,63
morning,matin,70
horse,cheval,107
letter,lettre,116
lords,seigneurs,119
except,sauf,189
offend,offenser,48
tarry,goudronneux,24
rotten,pourri,33
device,dispositif,17
accuse,accuser,36
entertainment,divertissement,18
jewel,bijou,36
devil,diable,133
enemy,ennemi,78
believe,croyez,209
giving,donnant,41
dread,crainte,43
prize,prix,25
worth,vaut,162
excuse,excuse,78
humour,humour,86
taken,pris,69
knight,chevalier,43
receive,recevoir,87
think,pense,1153
triumph,triomphe,24
storm,orage,31
poison,poison,79
black,noir,122
launce,lancer,4
enemies,ennemis,35
store,boutique,24
people,gens,100
valour,valeur,50
flower,fleur,19
monster,monstre,20
cupid,cupidon,26
watch,regarder,77
speech,discours,93
afraid,peur,25
paulina,paulina,84
holds,tient,77
oliver,oliver,54
pluck,cueillir,106
thing,chose,424
fashion,mode,55
withal,avec,36
through,par,878
country,pays,106
commercial,commercial,221
strength,force,106
attend,assister,100
project,projet,244
tedious,fastidieux,36
maids,servantes,23
seven,sept,62
express,express,36
dwell,habiter,30
philip,philippe,11
smell,odeur,42
exeunt,sortir,841
bedford,bedford,48
didst,didst,183
either,soit,153
blows,coups,40
sovereign,souverain,67
those,ceux,537
palace,palais,131
glass,verre,32
beard,barbe,40
might,pourrait,1061
weight,poids,31
doubt,doute,118
bears,ours,173
worse,pire,112
measure,mesure,72
guilty,coupable,50
talbot,talbot,157
ulysses,ulysse,16
surrey,surrey,50
trumpet,trompette,53
valiant,vaillant,111
farewell,adieu,142
blind,aveugle,51
doing,faire,107
rough,rugueux,52
knock,frappe,50
absence,absence,55
proper,correct,68
banish,bannir,35
house,maison,274
bitter,amer,65
drops,gouttes,43
common,commun,137
street,rue,74
themselves,se,406
wonder,merveille,76
virtue,vertu,130
every,chaque,491
mortal,mortel,126
prologue,prologue,39
chaste,chaste,38
lovely,charmant,51
hours,heures,87
figure,figure,40
green,vert,55
learned,appris,45
substance,substance,41
complexion,complexion,40
teach,enseigner,97
cromwell,cromwell,44
shore,rive,25
greet,saluer,123
valentine,valentin,29
supper,souper,22
stone,calcul,22
colour,couleur,47
mouth,bouche,64
dramatis,dramatis,36
short,court,206
fancy,fantaisie,22
shadow,ombre,48
fought,combattu,44
happy,heureux,212
sickness,maladie,34
whole,entier,108
modest,modeste,31
offence,infraction,51
terms,termes,45
hazard,danger,133
sight,vue,94
dreadful,horrible,82
season,saison,21
proof,preuve,42
catch,capture,57
enter,entrer,2013
asleep,endormi,13
truly,vraiment,83
between,entre,230
treason,trahison,45
flowers,fleurs,24
still,encore,639
counsel,conseil,114
having,ayant,144
lives,vies,131
natural,naturel,51
double,double,80
oaths,serments,36
affections,affections,42
hollow,creux,41
beggar,mendiant,26
clifford,clifford,134
mowbray,mowbray,60
toward,vers,179
emperor,empereur,48
ladies,dames,72
force,obliger,79
worship,culte,58
bastard,connard,66
steel,acier,32
cominius,cominius,104
tongue,langue,231
liege,liege,139
bright,brillant,52
protector,protecteur,22
slander,calomnie,31
secret,secret,63
unknown,inconnue,26
slave,esclave,46
confess,avouer,90
seeing,voyant,40
counterfeit,contrefaire,28
julia,julia,145
glorious,glorieux,37
assure,assurer,49
course,cours,100
grown,grandi,55
place,endroit,233
power,puissance,218
meant,signifiait,40
wealth,richesse,51
finger,doigt,40
mischief,sottises,23
chair,chaise,16
heels,talons,32
soothsayer,devin,8
miranda,miranda,64
suspect,suspect,38
brain,cerveau,43
abide,respecter,29
wrong,faux,333
opinion,opinion,83
cease,cesser,29
soldier,soldat,67
wings,ailes,33
fellow,compagnon,155
behold,voir,117
garden,jardin,32
hanging,pendaison,27
choice,choix,36
certain,certain,176
scarce,rare,126
small,petit,85
voice,voix,85
gallant,galant,47
argument,argument,67
widow,veuve,49
perfect,parfait,43
passage,passage,35
before,avant,918
utter,prononcer,33
sirrah,sirrah,147
husband,mari,126
simple,facile,74
stomach,estomac,16
merry,joyeux,103
looks,regards,149
shows,montre,84
chamber,chambre,48
plain,plaine,86
should,devrait,1535
justice,justice,238
orlando,orlando,164
flatter,flatter,43
depart,partir,36
keeps,garde,146
readable,lisible,223
rogue,coquin,42
dagger,dague,24
proud,fier,159
gross,brut,44
hangs,bloque,35
bottom,bas,34
hector,hector,197
particular,particulier,41
water,eau,83
marcus,marcus,138
effect,effet,190
affection,affection,73
solemn,solennel,39
ground,sol,68
perceive,apercevoir,84
daughter,fille,244
unworthy,indigne,36
entertain,divertir,35
leontes,leontes,150
request,demande,70
purpose,objectif,117
steal,voler,70
countess,comtesse,17
according,selon,44
their,leur,2077
winter,hiver,32
faith,foi,78
forbid,interdire,43
captain,capitaine,73
shepherd,berger,27
point,point,143
jealous,jaloux,39
poins,poins,103
alone,seul,83
paris,paris,136
public,publique,55
paper,papier,50
patient,patient,87
marriage,mariage,57
bassianus,bassianus,45
clown,pitre,39
feeble,faible,19
profit,profit,37
affairs,affaires,39
fortune,fortune,314
motion,mouvement,48
clear,clair,44
match,rencontre,85
fault,faute,89
exeter,exeter,98
fearful,craintif,76
follow,suivre,233
claudio,claudio,174
kingdom,royaume,44
intent,intention,28
command,commander,110
capitol,capitole,8
round,rond,53
neither,ni,118
visit,visite,54
account,compte,31
